skill,ai_job_count,overall_job_count,share_in_ai_jobs,share_in_all_jobs,lift
organisasjonsutvikling,1,39,0.011494252873563218,0.0039,2.9472443265546713
overingeniør,1,2,0.011494252873563218,0.0002,57.47126436781609
personvern,1,4,0.011494252873563218,0.0004,28.735632183908045
petroleumsingeniør,1,1,0.011494252873563218,0.0001,114.94252873563218
plattformutvikling,1,4,0.011494252873563218,0.0004,28.735632183908045
produksjon,1,9,0.011494252873563218,0.0009,12.77139208173691
programmering,4,6,0.04597701149425287,0.0006,76.62835249042146
prosessforbedring,1,4,0.011494252873563218,0.0004,28.735632183908045
prosessingeniør,1,1,0.011494252873563218,0.0001,114.94252873563218
prosjektledelse,3,34,0.034482758620689655,0.0034,10.141987829614605
reaktorsimulering,1,1,0.011494252873563218,0.0001,114.94252873563218
rådgivning,1,10,0.011494252873563218,0.001,11.494252873563218
simulering,2,2,0.022988505747126436,0.0002,114.94252873563218
skyplattform,1,2,0.011494252873563218,0.0002,57.47126436781609
skytjenester,1,1,0.011494252873563218,0.0001,114.94252873563218
spillteori,1,1,0.011494252873563218,0.0001,114.94252873563218
statistikk,2,4,0.022988505747126436,0.0004,57.47126436781609
stipendiat,3,17,0.034482758620689655,0.0017,20.28397565922921
strategi,1,21,0.011494252873563218,0.0021,5.473453749315818
strømnett,1,1,0.011494252873563218,0.0001,114.94252873563218
systemutvikler,1,2,0.011494252873563218,0.0002,57.47126436781609
teamleder,1,4,0.011494252873563218,0.0004,28.735632183908045
teknisk rådgiver,1,2,0.011494252873563218,0.0002,57.47126436781609
teknologi,2,14,0.022988505747126436,0.0014,16.420361247947454
teknologiledelse,2,6,0.022988505747126436,0.0006,38.31417624521073
tjenesteutvikling,1,1,0.011494252873563218,0.0001,114.94252873563218
transport,1,2,0.011494252873563218,0.0002,57.47126436781609
universitet,4,22,0.04597701149425287,0.0022,20.89864158829676
vitenskapelig databehandling,1,1,0.011494252873563218,0.0001,114.94252873563218
workshop,1,1,0.011494252873563218,0.0001,114.94252873563218
Økonomi,1,325,0.011494252873563218,0.0325,0.3536693191865605
